"Drugs","MOA","Target","Phase","pert_id","moa_brd","moa_final","moa_manual"
"(-)-cotinine",NA,NA,NA,NA,NA,NA,NA
"(-)-gallocatechin gallate",NA,NA,NA,NA,NA,NA,NA
"(-)-jq1",NA,NA,NA,NA,NA,"BET inhibitor","BET inhibitor"
"(+)-3-hydroxy-n-methylmorphinan d-tartrate",NA,NA,NA,NA,NA,NA,NA
"(+)-jq1",NA,NA,NA,NA,NA,"BET inhibitor","BET inhibitor"
"(e)-capsaicin",NA,NA,NA,NA,NA,NA,NA
"(s)-(-)-bay k 8644",NA,NA,NA,NA,NA,NA,NA
"1-benzylimidazole",NA,NA,NA,"BRD-K32795028","Unknown","Unknown",NA
"10-debc","AKT inhibitor","PIM1","Preclinical","BRD-K70792160",NA,"AKT inhibitor",NA
"11k-629s",NA,NA,NA,NA,NA,"Unknown","Unknown"
"12k-516s",NA,NA,NA,NA,NA,"Unknown","Unknown"
"12k-612s",NA,NA,NA,NA,NA,NA,NA
"12k-613s",NA,NA,NA,NA,NA,NA,NA
"1391-0741",NA,NA,NA,NA,NA,NA,NA
"1483-0018",NA,NA,NA,NA,NA,"Unknown","Unknown"
"1495-0136",NA,NA,NA,NA,NA,NA,NA
"15-delta-prostaglandin-j2",NA,NA,NA,"BRD-K61033289",NA,"PPAR receptor agonist","PPAR receptor agonist"
"1541b",NA,NA,NA,NA,NA,NA,NA
"16-beta-bromoandrosterone",NA,NA,NA,NA,NA,NA,NA
"17-beta-estradiol 17-valerate",NA,NA,NA,NA,NA,NA,NA
"19-norethindrone",NA,NA,NA,NA,NA,NA,NA
"2-(trifluoromethyl)-10h-phenothiazine",NA,NA,NA,NA,NA,NA,NA
"2-bromo-n-[3-(butyrylamino)phenyl]benzamide",NA,NA,NA,NA,NA,NA,NA
"2-bromo-n-[3-(propionylamino)phenyl]benzamide",NA,NA,NA,NA,NA,NA,NA
"2-chloro-7-methoxyphenothiazine",NA,NA,NA,NA,NA,NA,NA
"2-chloroadenosine","adenosine receptor agonist","ADORA1, ADORA2A, ADORA2B","Preclinical",NA,NA,"adenosine receptor agonist",NA
"2-fluoropalmitic-acid",NA,NA,NA,"BRD-A94451536","Unknown","Unknown",NA
"2,4-dideoxy-dc-45-a2",NA,NA,NA,NA,NA,"Unknown","Unknown"
"2,5-dideoxyadenosine",NA,NA,NA,NA,NA,NA,NA
"3-deoxydenosine",NA,NA,NA,NA,NA,NA,NA
"3-methyladenine","PI3K inhibitor","PI3","Preclinical",NA,NA,"PI3K inhibitor",NA
"3,6-diphenyl-1,2,4-triazin-5-yl methyl ether",NA,NA,NA,NA,NA,NA,NA
"4-(3,4-dimethoxyphenyl)pyridine hydrobromide wg-7",NA,NA,NA,NA,NA,NA,NA
"4-aminosalicylic acid",NA,NA,NA,NA,NA,NA,NA
